id,output1,output2,output3,consistency,average_consistency
RU1,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU6,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU4,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU3,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU2,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU7,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU8,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU10,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU11,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU12,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
US14,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU13,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU14,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU15,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU16,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU17,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU18,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU19,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
RU5,"Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?","Unfortunately, I can't say anything about it. Let's change the subject?",1.000000238418579,
